,index,group,id,g1,g11,m,k,c,a,f,b,l,error,winner,log_error,logaf,logbc,logkm
251,142299148,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.2,0.09,0.01,2897.7305,0,7.971683123387227,-1.791759469228055,-1.7147984280919266,
252,142299008,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.9,0.04,0.01,2897.7305,0,7.971683123387227,-1.504077396776274,-2.5257286443082556,
253,142298992,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.8,0.1,0.01,2897.7305,0,7.971683123387227,-1.3862943611198906,-1.6094379124341003,
254,142298988,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.8,0.09,0.01,2897.7305,0,7.971683123387227,-1.3862943611198906,-1.7147984280919266,
255,142298984,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.8,0.08,0.01,2897.7305,0,7.971683123387227,-1.3862943611198906,-1.8325814637483102,
256,142298980,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.8,0.07,0.01,2897.7305,0,7.971683123387227,-1.3862943611198906,-1.9661128563728327,
257,142298976,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.8,0.06,0.01,2897.7305,0,7.971683123387227,-1.3862943611198906,-2.120263536200091,
258,142298972,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.8,0.05,0.01,2897.7305,0,7.971683123387227,-1.3862943611198906,-2.3025850929940455,
259,142299048,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,1.0,0.04,0.01,2897.7305,0,7.971683123387227,-1.6094379124341003,-2.5257286443082556,
260,142299032,Grp. A1 B6 (100% C1),602,0.171,0.0,0.0,0.0,0.5,0.2,0.9,0.1,0.01,2897.7305,0,7.971683123387227,-1.504077396776274,-1.6094379124341003,
